序号,书籍封面,书名,推荐,出版时间,出版社,五星评价人数,现价,原价,折扣
493,http://img3m6.ddimg.cn/45/15/22800636-1_l_13.jpg,昆虫记 统编语文教科书八年级（上）指定阅读（中小学新课标必读名著）190000多名读者热评！,99.9%推荐,2012-07-01,五星评分：,2097,&yen;11.30,&yen;14.80,7.6折
494,http://img3m2.ddimg.cn/76/16/27938272-1_l_10.jpg,半小时漫画唐诗2（漫画科普开创者二混子新作！全网粉丝700万！看起来都是笑点，实际上全是考点！《半小时漫画唐诗》完结篇！）,100%推荐,2019-10-15,五星评分：,1587,&yen;48.90,&yen;49.90,9.8折
495,http://img3m1.ddimg.cn/3/23/27866721-1_l_2.jpg,事实（樊登读书创始人樊登博士倾力推荐！比尔・盖茨送给全美大学生的毕业礼物！比尔・盖茨逢人就推荐的热门大书！）,100%推荐,2019-05-07,五星评分：,730,&yen;99.00,&yen;99.00,10.0折
496,http://img3m1.ddimg.cn/44/8/26483831-1_l_4.jpg,一起长大的玩具 二年级下册 曹文轩 陈先云 主编 统编语文教科书必读书目 人教版快乐读书吧名著阅读课程化丛书二年级课外阅读必读,100%推荐,2019-01-01,五星评分：,707,&yen;12.00,&yen;16.00,7.5折
497,http://img3m1.ddimg.cn/88/17/25180441-1_l_17.jpg,好看的皮囊千篇一律，有趣的灵魂万里挑一（老杨的猫头鹰最新作品“醒脑之书”系列之三）,100%推荐,2017-11-01,五星评分：,6027,&yen;31.00,&yen;39.80,7.8折
498,http://img3m4.ddimg.cn/96/20/25215594-1_l_2.jpg,一九八四（又译作“1984”）,100%推荐,2018-02-05,五星评分：,3653,&yen;24.90,&yen;32.00,7.8折
499,http://img3m2.ddimg.cn/1/34/24039082-1_l_10.jpg,现代汉语词典(第7版) 商务印书馆,99.9%推荐,2016-09-01,五星评分：,6734,&yen;92.65,&yen;109.00,8.5折
500,http://img3m3.ddimg.cn/70/8/25216063-1_l_12.jpg,诗经（韩寒推荐，全三册注音插图版）,99.9%推荐,2018-01-01,五星评分：,4212,&yen;121.40,&yen;138.00,8.8折
序号,书籍封面,书名,推荐,出版时间,出版社,五星评价人数,现价,原价,折扣
1,http://img3m1.ddimg.cn/96/22/24157581-1_l_15.jpg,魔力四射：如何打动、亲近和影响他人（一本改变人生思维方式的魔力读物，助你掌握社交技巧与领导魅力）,100%推荐,2016-08-01,五星评分：,46823,&yen;24.90,&yen;32.00,7.8折
2,http://img3m0.ddimg.cn/33/33/25197810-1_l_3.jpg,尤尔小屋的猫,100%推荐,2018-01-01,五星评分：,47808,&yen;34.70,&yen;39.80,8.7折
3,http://img3m0.ddimg.cn/65/35/28470980-1_l_5.jpg,阴谋与爱情,100%推荐,2019-06-30,五星评分：,40140,&yen;31.00,&yen;39.80,7.8折
4,http://img3m4.ddimg.cn/77/13/27911444-1_l_3.jpg,高尔基成长三部曲（童年、在人间、我的大学）,100%推荐,2019-08-01,五星评分：,14220,&yen;37.80,&yen;108.00,3.5折
5,http://img3m4.ddimg.cn/85/21/27889474-1_l_2.jpg,养成良好习惯，高效管理时间,100%推荐,2019-04-30,五星评分：,28034,&yen;27.30,&yen;35.00,7.8折
6,http://img3m6.ddimg.cn/2/27/24157586-1_l_7.jpg,谋杀鉴赏（《读者的选择》最佳小说奖、国际推理小说“安东尼”奖提名。）,100%推荐,2016-05-01,五星评分：,32754,&yen;29.60,&yen;38.00,7.8折
7,http://img3m0.ddimg.cn/10/28/25345990-1_l_3.jpg,间谍之死(拒绝好莱坞翻拍的年度作品，刺激程度超越《碟中谍》，更好看的悬疑推理小说，，更精彩的高科技犯罪！屏住呼吸，追击即将开始) 纤阅出品,100%推荐,2018-08-01,五星评分：,46390,&yen;44.40,&yen;57.00,7.8折
8,http://img3m0.ddimg.cn/18/6/28501920-1_l_2.jpg,我的第一本哲学启蒙书,100%推荐,2020-02-01,五星评分：,4461,&yen;34.70,&yen;39.80,8.7折
9,http://img3m5.ddimg.cn/64/16/25110325-1_l_3.jpg,守护故事的人(一部与《杀死一只知更鸟》相同深度和力量的作品),100%推荐,2017-08-01,五星评分：,24022,&yen;38.40,&yen;48.00,8.0折
10,http://img3m5.ddimg.cn/96/20/25277865-1_l_3.jpg,上帝怀中的羔羊：美国普利策文学奖、法国费米娜文学奖获奖作品,100%推荐,2018-05-01,五星评分：,19586,&yen;34.70,&yen;39.80,8.7折
11,http://img3m8.ddimg.cn/83/9/28516538-1_l_10.jpg,小王子（法语原版翻译，精装全彩插图，全译本，法语联盟基金会驻中国总代表推荐译本，比利时使馆法语区文化项目负责人翻译）,100%推荐,2020-02-18,五星评分：,4728,&yen;24.70,&yen;39.80,6.2折
12,http://img3m5.ddimg.cn/41/3/28486895-1_l_2.jpg,给孩子的财商启蒙书（樊登读书会推荐）,100%推荐,2020-01-01,五星评分：,9245,&yen;41.80,&yen;48.00,8.7折
13,http://img3m4.ddimg.cn/0/25/24157584-1_l_12.jpg,克隆版大脑（如果你脑子里的一切都被计算机复制，会发生什么事？国际斯坦福研究协会人工智能中心首席科学家理查德・瓦尔丁格倾力推荐）,100%推荐,2016-05-01,五星评分：,12772,&yen;30.40,&yen;39.00,7.8折
14,http://img3m8.ddimg.cn/8/26/25345988-1_l_1.jpg,有话说出来！（彻底颠覆社会人脉的固有方式，社交电池帮你搞定社交。社交恐惧症患者必须拥有的一本实用社交指南，初入大学和职场的必备“攻略”，拿起这本书，你也是“魏璎珞”）纤阅出品,100%推荐,2018-08-01,五星评分：,37934,&yen;32.70,&yen;42.00,7.8折
15,http://img3m4.ddimg.cn/95/22/25069964-1_l_19.jpg,旋木情缘（《今日美国》畅销书获奖作品中国首发：一座重获新生的旋转木马，一段爱情的回归之旅）,100%推荐,2017-01-01,五星评分：,31996,&yen;29.60,&yen;38.00,7.8折
16,http://img3m9.ddimg.cn/21/27/28470639-1_l_5.jpg,自游加州全攻略,100%推荐,2019-06-30,五星评分：,29791,&yen;38.20,&yen;48.00,8.0折
17,http://img3m2.ddimg.cn/97/23/24157582-1_l_13.jpg,脱口而出，妙语连珠：令人终生难忘的即兴演说书（成功与否并不取决于经验多寡，而是在于使用什么样的方法）,99.9%推荐,2016-08-01,五星评分：,24804,&yen;35.10,&yen;45.00,7.8折
18,http://img3m1.ddimg.cn/86/2/25546541-1_l_9.jpg,空间简史(教育部推荐读物，与《时间简史》《人类简史》《未来简史》并称“四大简史”),100%推荐,2019-01-01,五星评分：,34076,&yen;34.70,&yen;39.80,8.7折
19,http://img3m3.ddimg.cn/20/26/27939503-1_l_3.jpg,焦虑日志,100%推荐,2019-09-01,五星评分：,35254,&yen;43.40,&yen;49.80,8.7折
20,http://img3m1.ddimg.cn/66/36/28470981-1_l_3.jpg,谜案鉴赏,100%推荐,2019-06-30,五星评分：,30910,&yen;38.80,&yen;49.80,7.8折
21,http://img3m6.ddimg.cn/21/18/28504596-1_l_9.jpg,怪奇事物所（大张伟直播推荐）,99.9%推荐,2020-01-15,五星评分：,2021,&yen;55.70,&yen;58.00,9.6折
22,http://img3m6.ddimg.cn/3/13/28504776-1_l_3.jpg,和爸妈游世界 游中国 精装套装全2册,99.8%推荐,2019-12-01,五星评分：,929,&yen;24.90,&yen;159.80,1.6折
23,http://img3m3.ddimg.cn/50/6/28510763-1_l_4.jpg,在路上（李现推荐，趁着年轻生猛，我要再和生活死磕几年！全新精装十大硬核价值版！）（读客经典文库）,100%推荐,2020-01-06,五星评分：,1235,&yen;35.94,&yen;59.90,6.0折
24,http://img3m6.ddimg.cn/51/5/28517496-1_l_2.jpg,人工智能：重塑个人、商业与社会,100%推荐,2020-01-01,五星评分：,993,&yen;61.40,&yen;89.00,6.9折
25,http://img3m7.ddimg.cn/55/16/27918847-1_l_9.jpg,朝与同歌暮与酒,100%推荐,2019-09-01,五星评分：,15978,&yen;41.80,&yen;48.00,8.7折
26,http://img3m8.ddimg.cn/54/11/28503738-1_l_6.jpg,林清玄50年散文精选（全5册）,100%推荐,2020-02-01,五星评分：,991,&yen;283.80,&yen;290.00,9.8折
27,http://img3m4.ddimg.cn/79/10/28499704-1_l_8.jpg,林清玄：把烦恼写在沙滩上（执笔50年主题散文白金纪念版）,100%推荐,2020-02-01,五星评分：,990,&yen;58.00,&yen;58.00,10.0折
28,http://img3m1.ddimg.cn/26/33/28507571-1_l_6.jpg,森林报（自然与文学融合的经典，关于大自然变化的百科全书。429种动植物的生命故事，285幅原版插图全彩升级绘制。）【果麦经典】,100%推荐,2020-01-01,五星评分：,1000,&yen;103.80,&yen;118.00,8.8折
29,http://img3m3.ddimg.cn/78/9/28499703-1_l_6.jpg,林清玄：为自己开一朵花（执笔50年主题散文白金纪念版）,100%推荐,2020-02-01,五星评分：,991,&yen;58.00,&yen;58.00,10.0折
30,http://img3m0.ddimg.cn/75/6/28499700-1_l_9.jpg,林清玄：心是一切温柔的起点（执笔50年主题散文白金纪念版）,100%推荐,2020-02-01,五星评分：,988,&yen;58.00,&yen;58.00,10.0折
31,http://img3m2.ddimg.cn/77/8/28499702-1_l_6.jpg,林清玄：守住一颗宁静的心（执笔50年主题散文白金纪念版）,100%推荐,2020-02-01,五星评分：,966,&yen;58.00,&yen;58.00,10.0折
32,http://img3m1.ddimg.cn/76/7/28499701-1_l_6.jpg,林清玄：一心一境过一生（执笔50年主题散文白金纪念版）,100%推荐,2020-02-01,五星评分：,982,&yen;58.00,&yen;58.00,10.0折
33,http://img3m4.ddimg.cn/82/11/28488124-1_l_3.jpg,呼兰河传,100%推荐,2020-01-01,五星评分：,5756,&yen;31.00,&yen;39.80,7.8折
34,http://img3m7.ddimg.cn/2/0/23966417-1_l_12.jpg,答案之书（精装）(我的人生解答书),99.6%推荐,2016-06-01,五星评分：,6595,&yen;33.10,&yen;38.00,8.7折
35,http://img3m8.ddimg.cn/3/21/27928398-1_l_3.jpg,人人都能学会的刷屏文案写作技巧,100%推荐,2019-09-26,五星评分：,4591,&yen;49.00,&yen;49.00,10.0折
36,http://img3m2.ddimg.cn/0/27/28473192-1_l_3.jpg,你当像鸟飞往你的山（比尔・盖茨年度特别推荐，登顶《纽约时报》畅销榜80 周！多一个人读到这个真实故事，就多一个人勇敢做自己！）,99.9%推荐,2019-11-01,五星评分：,1954,&yen;59.00,&yen;59.00,10.0折
37,http://img3m2.ddimg.cn/24/16/25301652-1_l_3.jpg,最佳命中率,100%推荐,2018-08-01,五星评分：,11456,&yen;43.40,&yen;49.80,8.7折
38,http://img3m8.ddimg.cn/26/24/26490248-1_l_15.jpg,云深知景年,100%推荐,2019-02-01,五星评分：,15200,&yen;33.10,&yen;38.00,8.7折
39,http://img3m1.ddimg.cn/66/16/28501671-1_l_5.jpg,谁的小眼睛还没看影帝（全2册）,100%推荐,2020-02-01,五星评分：,1039,&yen;34.80,&yen;58.00,6.0折
40,http://img3m9.ddimg.cn/44/6/28475909-1_l_3.jpg,玩就对了,100%推荐,2020-01-01,五星评分：,7793,&yen;31.80,&yen;39.80,8.0折
41,http://img3m3.ddimg.cn/80/5/27948473-1_l_3.jpg,西方美学史（全二册）,100%推荐,2019-11-01,五星评分：,8663,&yen;30.40,&yen;78.00,3.9折
42,http://img3m1.ddimg.cn/30/19/27857541-1_l_3.jpg,21天精通水彩,100%推荐,2019-05-01,五星评分：,1655,&yen;43.40,&yen;49.80,8.7折
43,http://img3m8.ddimg.cn/90/28/25197768-1_l_8.jpg,无可替代的你,99.9%推荐,2018-01-01,五星评分：,10696,&yen;43.40,&yen;49.80,8.7折
44,http://img3m6.ddimg.cn/0/11/27926316-1_l_3.jpg,微表情密码,100%推荐,2019-09-01,五星评分：,15797,&yen;39.80,&yen;39.80,10.0折
45,http://img3m9.ddimg.cn/26/19/28510739-1_l_3.jpg,你好，小读者（解答小读者关于成长、学习、友谊的共同困惑，十周年插图纪念版，独家收录秦文君数篇新作）,100%推荐,2020-01-01,五星评分：,998,&yen;37.80,&yen;39.80,9.5折
46,http://img3m0.ddimg.cn/87/10/25303200-1_l_1.jpg,藏在回忆里的风景（全二册）,100%推荐,2018-08-01,五星评分：,10577,&yen;43.40,&yen;49.80,8.7折
47,http://img3m6.ddimg.cn/23/14/28502816-1_l_1.jpg,好一个格仁（“阳光姐姐”伍美珍倾情推荐；中华民族传统美德新时代少年故事；18张跨页插图，全彩页。）,100%推荐,2019-12-01,五星评分：,999,&yen;64.60,&yen;68.00,9.5折
48,http://img3m4.ddimg.cn/84/19/28497234-1_l_8.jpg,美女都是狠角色（2019全新升级版，真正的“狠角色”，是那些内心笃定的女子。）,100%推荐,2019-12-01,五星评分：,894,&yen;39.00,&yen;39.80,9.8折
49,http://img3m7.ddimg.cn/24/15/28502817-1_l_6.jpg,三个火枪手（法国法语联盟官方推荐，大仲马逝世150周年彩插纪念版，首个无删节法文直译本）,100%推荐,2019-12-01,五星评分：,1041,&yen;86.20,&yen;98.00,8.8折
50,http://img3m5.ddimg.cn/5/28/28515965-1_l_7.jpg,在路上（高晓松、万晓利独家推荐版本！重新定义美国文学的经典巨著，启迪一代人的精神《圣经》）,100%推荐,2020-02-01,五星评分：,600,&yen;9.90,&yen;49.00,2.0折
51,http://img3m8.ddimg.cn/92/8/28502588-1_l_9.jpg,小学生必背古诗文129篇 (必备古诗词 2020新版小学生1-6年级，全国通用）,100%推荐,2019-06-01,五星评分：,811,&yen;41.60,&yen;46.80,8.9折
52,http://img3m5.ddimg.cn/22/13/28502815-1_l_3.jpg,女生徒（“在这泥沼般的人世间，好想美丽地活下去。”太宰治对女性、对自己所做的真挚告白。）【果麦经典】,100%推荐,2019-12-01,五星评分：,1060,&yen;35.00,&yen;39.80,8.8折
53,http://img3m8.ddimg.cn/23/30/28507568-1_l_9.jpg,金色玩具店（引爆法国文坛的马克?特威迪克新作，《天使爱美丽》般的叙事画面感，除了带给人欢乐，带有童心的玩具还有更重要的使命！）,100%推荐,2020-01-01,五星评分：,1002,&yen;33.70,&yen;45.00,7.5折
54,http://img3m5.ddimg.cn/89/5/28502585-1_l_3.jpg,初中生必背古诗文132篇 (北师大博士生导师，中学语文特级教师主编),100%推荐,2019-05-01,五星评分：,720,&yen;38.90,&yen;43.80,8.9折
55,http://img3m7.ddimg.cn/70/17/28504447-1_l_3.jpg,在路上（精装纪念版，李现推荐）,100%推荐,2020-01-01,五星评分：,1153,&yen;50.50,&yen;58.00,8.7折
56,http://img3m4.ddimg.cn/21/12/28502814-1_l_3.jpg,神曲：全3册（插图本）（定制插图133幅全新重制，翻译家王维克经典译本，地狱、净界、天堂套装全收录）【果麦经典】,99.8%推荐,2019-12-01,五星评分：,463,&yen;86.20,&yen;98.00,8.8折
57,http://img3m9.ddimg.cn/24/31/28507569-1_l_3.jpg,山海经（鲁迅心爱的宝书。完整收录《山海经图》五卷，随文注音，翻开书就能读！）【果麦经典】,100%推荐,2020-01-01,五星评分：,448,&yen;46.90,&yen;68.00,6.9折
58,http://img3m1.ddimg.cn/25/6/28503511-1_l_5.jpg,二年级看图写话分三步（全2册）黄冈作文书小学生看图说话写话训练,100%推荐,2020-01-01,五星评分：,418,&yen;34.30,&yen;38.60,8.9折
59,http://img3m5.ddimg.cn/56/4/23761145-1_l_6.jpg,人间失格（日本小说家太宰治的自传体小说，李现推荐）,100%推荐,2015-08-01,五星评分：,18341,&yen;19.50,&yen;25.00,7.8折
60,http://img3m5.ddimg.cn/97/10/28505365-1_l_3.jpg,一年级看图说话写话训练(全2册) 黄冈小学生作文书,100%推荐,2020-01-01,五星评分：,395,&yen;34.30,&yen;38.60,8.9折
61,http://img3m7.ddimg.cn/66/36/28514937-1_l_4.jpg,狼殇（《狼图腾》作者姜戎倾情推荐）,99.5%推荐,2020-02-03,五星评分：,350,&yen;35.28,&yen;49.00,7.2折
62,http://img3m0.ddimg.cn/7/27/25137790-1_l_4.jpg,活着（2017年新版）,100%推荐,2012-08-01,五星评分：,42467,&yen;28.00,&yen;28.00,10.0折
63,http://img3m7.ddimg.cn/62/3/28502657-1_l_1.jpg,杨红樱 淘气包马小跳1:贪玩老爸 (畅销6000万册全彩升级版；儿童文学原创经典，元气满满中国少年，每个孩子都在不断成长蜕变。）,100%推荐,2019-12-01,五星评分：,460,&yen;23.20,&yen;28.00,8.3折
64,http://img3m1.ddimg.cn/31/4/20039611-1_l_9.jpg,小熊和最好的爸爸（全7册）,99.7%推荐,2007-11-01,五星评分：,11265,&yen;34.70,&yen;35.00,9.9折
65,http://img3m8.ddimg.cn/63/4/28502658-1_l_3.jpg,杨红樱 淘气包马小跳2:轰隆隆老师（畅销6000万册全彩升级版；儿童文学原创经典，元气满满中国少年，每个孩子都在不断成长蜕变。）,100%推荐,2019-12-01,五星评分：,452,&yen;23.20,&yen;28.00,8.3折
66,http://img3m4.ddimg.cn/32/35/23579654-1_l_3.jpg,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,99.8%推荐,2010-11-01,五星评分：,17843,&yen;85.00,&yen;93.00,9.1折
67,http://img3m5.ddimg.cn/51/34/26921715-1_l_2.jpg,人生海海（麦家重磅新作！莫言、董卿、王家卫、高晓松、杨洋倾力推荐）,100%推荐,2019-04-16,五星评分：,16519,&yen;55.00,&yen;55.00,10.0折
68,http://img3m3.ddimg.cn/16/9/28503403-1_l_3.jpg,罪与罚（只有《罪与罚》写透了，人人都知道却不敢说的人性阴暗面！全新精装珍藏版！）（读客经典文库）,100%推荐,2020-01-01,五星评分：,319,&yen;78.30,&yen;79.90,9.8折
69,http://img3m9.ddimg.cn/77/23/25295369-1_l_14.jpg,云边有个小卖部,100%推荐,2018-07-01,五星评分：,14056,&yen;41.10,&yen;42.00,9.8折
70,http://img3m0.ddimg.cn/79/25/27907090-1_l_6.jpg,丁香医生健康日历2020  丁香医生温馨提示：出门带口罩,99.9%推荐,2019-08-12,五星评分：,1353,&yen;62.72,&yen;98.00,6.4折
71,http://img3m6.ddimg.cn/36/34/28490256-1_l_3.jpg,盗墓笔记十年,99.9%推荐,2019-12-01,五星评分：,1635,&yen;43.10,&yen;46.00,9.4折
72,http://img3m7.ddimg.cn/77/15/24040247-1_l_5.jpg,细菌世界历险记 又名:灰尘的旅行 统编小学语文教材四年级下册快乐读书吧推荐必读书目 菌儿自传 高士其科普童话 150000多名读者热评！,100%推荐,2016-09-01,五星评分：,3441,&yen;19.40,&yen;22.80,8.5折
73,http://img3m9.ddimg.cn/25/29/25246609-1_l_1.jpg,乌合之众 : 大众心理研究,99.9%推荐,2018-04-06,五星评分：,7500,&yen;20.70,&yen;26.00,8.0折
74,http://img3m2.ddimg.cn/41/25/25090502-1_l_5.jpg,平凡的世界：全三册（故事里的中国，董卿、朱一龙推荐，八年级下册自主阅读推荐）,100%推荐,2017-06-01,五星评分：,17229,&yen;74.50,&yen;108.00,6.9折
75,http://img3m6.ddimg.cn/83/20/25138856-1_l_2.jpg,马尔克斯：百年孤独（50周年纪念版）,100%推荐,2017-08-01,五星评分：,18394,&yen;38.00,&yen;55.00,6.9折
76,http://img3m4.ddimg.cn/87/2/26509614-1_l_2.jpg,十万个为什么 统编语文教科书四年级（下）指定阅读（中小学新课标必读名著）,100%推荐,2018-10-01,五星评分：,485,&yen;19.40,&yen;22.80,8.5折
77,http://img3m7.ddimg.cn/70/12/25187947-1_l_9.jpg,傅雷家书 部编本语文教材八年级下册指定阅读,100%推荐,2017-09-01,五星评分：,3393,&yen;29.10,&yen;35.00,8.3折
78,http://img3m1.ddimg.cn/3/6/27872661-1_l_13.jpg,皮囊（350万册纪念版。直面人生的终极问题，刻在骨头里的故事，容纳一个个既失去家乡又未到达远方的生命。感动千万读者的国民读本）,100%推荐,2019-05-01,五星评分：,1646,&yen;48.80,&yen;49.80,9.8折
79,http://img3m5.ddimg.cn/98/24/27871865-1_l_21.jpg,笑背古诗：漫画版（全4册 ），中国诗词大会点评嘉宾推荐 含小学生必背古诗词75首+80首 适合小学生的国学经典儿童诗歌 当当首发独家,100%推荐,2019-05-01,五星评分：,3069,&yen;116.20,&yen;140.00,8.3折
80,http://img3m5.ddimg.cn/24/31/1496535405-1_l_24.jpg,中级会计职称教材2020 全套12本 中级会计师教材2020官方财政部版 经济法财务管理中级会计实务 会计中级职称教材+历年真题及押题模拟试卷习题库 可搭配购买东奥中级会计2019轻松过关一应试指南,99.2%推荐,2020-02-01,五星评分：,277,&yen;138.00,&yen;288.01,4.8折
81,http://img3m5.ddimg.cn/26/14/25238195-1_l_3.jpg,追风筝的人（2018年新版）,100%推荐,2006-05-01,五星评分：,12944,&yen;35.30,&yen;36.00,9.8折
82,http://img3m6.ddimg.cn/39/17/27931206-1_l_544.jpg,人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、《读者》2019年度“十大影响力好书”、人民日报力荐2020新年书单。）,99.9%推荐,2019-09-01,五星评分：,3809,&yen;48.90,&yen;49.90,9.8折
83,http://img3m8.ddimg.cn/82/19/25252408-1_l_19.jpg,神奇校车・图画书版（全12册，新增科学博览会1册）,100%推荐,2018-05-10,五星评分：,11903,&yen;176.20,&yen;198.00,8.9折
84,http://img3m0.ddimg.cn/61/3/23444350-1_l_4.jpg,神奇校车・桥梁书版（全20册）,99.9%推荐,2014-04-01,五星评分：,13650,&yen;148.50,&yen;150.00,9.9折
85,http://img3m1.ddimg.cn/66/15/24175371-1_l_108.jpg,作家榜经典：月亮与六便士（畅销250万册！荣获2018当当名著桂冠！2017豆瓣阅读桂冠！上海国际学校指定必读译本）,100%推荐,2017-01-10,五星评分：,10902,&yen;35.80,&yen;39.80,9.0折
86,http://img3m2.ddimg.cn/96/32/25285092-1_l_4.jpg,天才在左 疯子在右(2018全新完整版),100%推荐,2018-05-01,五星评分：,6444,&yen;46.60,&yen;49.80,9.4折
87,http://img3m7.ddimg.cn/84/30/28507827-1_l_3.jpg,变色龙：契诃夫短篇小说精选（新课标推荐阅读！提高写作能力，就读契诃夫。一句话就是一个故事。）（读客经典文库）,100%推荐,2020-01-01,五星评分：,211,&yen;16.50,&yen;32.90,5.0折
88,http://img3m4.ddimg.cn/59/1/28506614-1_l_3.jpg,无辜之血（阿加莎去世后，只有P. D. 詹姆斯配得上推理女王的桂冠！深埋十年的身世之谜，一场关于原生家庭的漫长梦魇！）,99.6%推荐,2020-01-02,五星评分：,218,&yen;37.40,&yen;52.00,7.2折
89,http://img3m6.ddimg.cn/0/17/28499526-1_l_3.jpg,猫的桌子（那一场看似短暂的独自远行，漫长到改变了我的整个人生。“金布克奖”得主翁达杰经典力作。）,99.6%推荐,2019-12-31,五星评分：,214,&yen;66.60,&yen;68.00,9.8折
90,http://img3m1.ddimg.cn/1/0/28494181-1_l_6.jpg,女人，别让自己死于一事无成,100%推荐,2020-01-22,五星评分：,206,&yen;28.60,&yen;39.80,7.2折
91,http://img3m3.ddimg.cn/67/10/28499593-1_l_3.jpg,海明威与骗子工厂（根据1980年FBI解禁档案改编，深度还原海明威的绝密间谍经历！）,100%推荐,2020-01-02,五星评分：,211,&yen;97.90,&yen;99.90,9.8折
92,http://img3m8.ddimg.cn/25/18/28510738-1_l_3.jpg,日本的童话（影响宫崎骏、安房直子的童话故事，畅销1000万册《窗边的小豆豆》译者赵玉皎倾心翻译。）【果麦经典】,100%推荐,2020-01-01,五星评分：,203,&yen;45.80,&yen;52.00,8.8折
93,http://img3m8.ddimg.cn/71/21/28516328-1_l_5.jpg,大话西方艺术史（独家寄语签章版）（句句有梗的极简艺术史！头号艺术自媒体意外艺术，八年积累诚意之作！轻松入门，提高审美）,100%推荐,2020-02-14,五星评分：,200,&yen;58.50,&yen;78.00,7.5折
94,http://img3m8.ddimg.cn/70/21/28509298-1_l_3.jpg,极简之道:日本平面设计美学（去掉一切无效信息，这就是日式极简的奥秘！直击本质，毫无废话，一本书说透日式极简七十年！）,100%推荐,2020-02-03,五星评分：,206,&yen;66.00,&yen;88.00,7.5折
95,http://img3m1.ddimg.cn/91/28/28505161-1_l_3.jpg,亲爱的伯德太太（你不用一直假装坚强，你可以留一个缝隙让别人去爱你。《星期日泰晤士报》十大畅销书！）,99.5%推荐,2020-01-25,五星评分：,213,&yen;48.90,&yen;49.90,9.8折
96,http://img3m1.ddimg.cn/80/1/23778791-1_l_4.jpg,少年读史记（套装全5册）,100%推荐,2015-09-01,五星评分：,12310,&yen;95.00,&yen;100.00,9.5折
97,http://img3m6.ddimg.cn/14/3/28505876-1_l_6.jpg,我要去故宫系列（套装全20册）,97.6%推荐,2020-02-01,五星评分：,193,&yen;528.00,&yen;536.00,9.9折
98,http://img3m3.ddimg.cn/20/24/25257593-1_l_8.jpg,乌丢丢的奇遇 曹文轩推荐儿童文学经典书系 33万多名读者热评！,100%推荐,2015-04-01,五星评分：,4089,&yen;14.10,&yen;18.80,7.5折
99,http://img3m3.ddimg.cn/40/6/27854383-1_l_91.jpg,一看就会的思维导图启蒙绘本（歪歪兔童书馆出品）,100%推荐,2019-04-30,五星评分：,1411,&yen;112.64,&yen;128.00,8.8折
100,http://img3m6.ddimg.cn/76/35/23427436-1_l_4.jpg,写给儿童的中国历史（全14册）,99.9%推荐,2014-04-01,五星评分：,9835,&yen;301.80,&yen;355.00,8.5折
101,http://img3m6.ddimg.cn/12/7/23379456-1_l_5.jpg,尼尔斯骑鹅旅行记 统编小学语文教材六年级下册快乐读书吧推荐必读书目 85000多名读者热评！,100%推荐,2013-12-04,五星评分：,1357,&yen;14.30,&yen;16.80,8.5折
102,http://img3m7.ddimg.cn/57/36/23946177-1_l_20.jpg,我们的身体,99.9%推荐,2012-06-01,五星评分：,11107,&yen;128.70,&yen;155.00,8.3折
103,http://img3m6.ddimg.cn/15/33/25298376-1_l_19.jpg,小王子（袁泉、王一博推荐，畅销350万册，1069181条当当读者五星好评。作者基金会官方认证简体中文版）【果麦经典】,100%推荐,2018-06-03,五星评分：,2220,&yen;35.00,&yen;39.80,8.8折
104,http://img3m5.ddimg.cn/31/23/25308985-1_l_8.jpg,丰子恺万般滋味，都是生活,100%推荐,2018-09-01,五星评分：,8685,&yen;27.30,&yen;42.00,6.5折
105,http://img3m4.ddimg.cn/81/18/23453874-1_l_4.jpg,福尔摩斯探案集（中小学新课标必读名著）130000多名读者热评！,100%推荐,2014-03-01,五星评分：,4031,&yen;13.90,&yen;17.80,7.8折
106,http://img3m0.ddimg.cn/17/4/27864260-1_l_5.jpg,2020新高考数学真题全刷：基础2000题,99.9%推荐,2019-05-01,五星评分：,698,&yen;79.00,&yen;79.00,10.0折
107,http://img3m4.ddimg.cn/53/23/22800644-1_l_7.jpg,鲁滨孙漂流记 统编小学语文教材六年级下册快乐读书吧推荐必读书目 又译：鲁滨逊漂流记 160000多名读者热评！,99.9%推荐,2012-07-01,五星评分：,2606,&yen;12.60,&yen;14.80,8.5折
108,http://img3m0.ddimg.cn/64/6/23990140-1_l_10.jpg,正面管教(修订版),100%推荐,2016-07-01,五星评分：,10879,&yen;19.00,&yen;38.00,5.0折
109,http://img3m2.ddimg.cn/62/32/25119332-1_l_9.jpg,东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,100%推荐,2017-08-09,五星评分：,19803,&yen;41.10,&yen;59.60,6.9折
110,http://img3m3.ddimg.cn/38/27/25102973-1_l_4.jpg,明朝那些事儿全集 增补版（新版全套9册）,100%推荐,2017-05-01,五星评分：,3475,&yen;278.20,&yen;297.00,9.4折
111,http://img3m2.ddimg.cn/65/6/27931232-1_l_6.jpg,半小时漫画中国史1-4+世界史（共5册）（独家签章版）（看半小时漫画，通五千年历史！漫画式科普开创者二混子新作！）,100%推荐,2019-09-26,五星评分：,742,&yen;209.50,&yen;209.50,10.0折
